source,category,gender,age_unit,age,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,856,1,90.508099999999999,0.036459999999999999,80.608000000000004,83.908000000000001,87.207999999999998,90.507999999999996,93.808000000000007,97.108000000000004,100.408
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,857,1,90.533699999999996,0.036470000000000002,80.628,83.93,87.231999999999999,90.534000000000006,93.834999999999994,97.137,100.43899999999999
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,858,1,90.559200000000004,0.036479999999999999,80.647999999999996,83.951999999999998,87.256,90.558999999999997,93.863,97.165999999999997,100.47
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,859,1,90.584800000000001,0.036490000000000002,80.668000000000006,83.974000000000004,87.278999999999996,90.584999999999994,93.89,97.195999999999998,100.501
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,860,1,90.610299999999995,0.036499999999999998,80.688000000000002,83.995999999999995,87.302999999999997,90.61,93.918000000000006,97.224999999999994,100.532
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,861,1,90.635800000000003,0.036510000000000001,80.707999999999998,84.018000000000001,87.326999999999998,90.635999999999996,93.944999999999993,97.254000000000005,100.563
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,862,1,90.661199999999994,0.036519999999999997,80.727999999999994,84.039000000000001,87.35,90.661000000000001,93.971999999999994,97.283000000000001,100.59399999999999
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,863,1,90.686700000000002,0.03653,80.748000000000005,84.061000000000007,87.373999999999995,90.686999999999998,93.998999999999995,97.311999999999998,100.625
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,864,1,90.712100000000007,0.036540000000000003,80.768000000000001,84.082999999999998,87.397000000000006,90.712000000000003,94.027000000000001,97.340999999999994,100.65600000000001
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,865,1,90.737499999999997,0.036549999999999999,80.787999999999997,84.105000000000004,87.421000000000006,90.738,94.054000000000002,97.37,100.687
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,866,1,90.762799999999999,0.036560000000000002,80.808000000000007,84.126000000000005,87.444999999999993,90.763000000000005,94.081000000000003,97.399000000000001,100.718
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,867,1,90.788200000000003,0.036569999999999998,80.828000000000003,84.147999999999996,87.468000000000004,90.787999999999997,94.108000000000004,97.427999999999997,100.749
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,868,1,90.813500000000005,0.036589999999999998,80.844999999999999,84.168000000000006,87.491,90.813999999999993,94.135999999999996,97.459000000000003,100.782
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,869,1,90.838800000000006,0.036600000000000001,80.864999999999995,84.188999999999993,87.513999999999996,90.838999999999999,94.164000000000001,97.488,100.813
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,870,1,90.864099999999993,0.036609999999999997,80.884,84.210999999999999,87.537999999999997,90.864000000000004,94.191000000000003,97.516999999999996,100.84399999999999
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,871,1,90.889300000000006,0.03662,80.903999999999996,84.233000000000004,87.561000000000007,90.888999999999996,94.218000000000004,97.546000000000006,100.874
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,872,1,90.914599999999993,0.036630000000000003,80.924000000000007,84.254000000000005,87.584000000000003,90.915000000000006,94.245000000000005,97.575000000000003,100.905
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,873,1,90.939800000000005,0.036639999999999999,80.944000000000003,84.275999999999996,87.608000000000004,90.94,94.272000000000006,97.603999999999999,100.93600000000001
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,874,1,90.965000000000003,0.036650000000000002,80.962999999999994,84.296999999999997,87.631,90.965000000000003,94.299000000000007,97.632999999999996,100.967
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,875,1,90.990099999999998,0.036659999999999998,80.983000000000004,84.319000000000003,87.653999999999996,90.99,94.325999999999993,97.661000000000001,100.997
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,876,1,91.015299999999996,0.036670000000000001,81.003,84.34,87.677999999999997,91.015000000000001,94.352999999999994,97.69,101.02800000000001
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,877,1,91.040400000000005,0.036679999999999997,81.022000000000006,84.361999999999995,87.700999999999993,91.04,94.38,97.718999999999994,101.05800000000001
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,878,1,91.0655,0.03669,81.042000000000002,84.382999999999996,87.724000000000004,91.066000000000003,94.406999999999996,97.748000000000005,101.089
